"Seq_ID	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq"
"CS00050	0.025	NC_017592.1	1	2036867	706764	181042	8.88826	11.9466	35.3	3.93"
"CS00050	0.05	NC_017592.1	1	2036867	1412919	255971	12.5669	23.8741	35.3	3.93"
"CS00050	0.075	NC_017592.1	1	2036867	2118812	315900	15.5091	35.7975	35.3	3.93"
"CS00050	0.125	NC_017592.1	1	2036867	3532166	409889	20.1235	59.6735	35.3	3.93"
"CS00050	0.1	NC_017592.1	1	2036867	2826273	364198	17.8803	47.7511	35.3	3.93"
"CS00050	0.25	NC_017592.1	1	2036867	7059961	570572	28.0122	119.34	35.3	3.93"
"CS00050	0.5	NC_017592.1	1	2036867	14115208	760952	37.3589	238.667	35.3	3.94"
"CS00050	1.0	NC_017592.1	1	2036867	28245670	955826	46.9263	388.673	35.4	3.94"
"CS00051	0.025	NC_017592.1	1	2036867	767437	36096	1.77213	10.2546	35.2	0.904"
"CS00051	0.05	NC_017592.1	1	2036867	1531534	53638	2.63336	20.4625	35.2	0.905"
"CS00051	0.075	NC_017592.1	1	2036867	2296022	69357	3.40508	30.68	35.2	0.902"
"CS00051	0.125	NC_017592.1	1	2036867	3825266	89050	4.37191	51.1114	35.2	0.903"
"CS00051	0.1	NC_017592.1	1	2036867	3058915	80753	3.96457	40.8765	35.2	0.902"
"CS00051	0.25	NC_017592.1	1	2036867	7648221	125609	6.16677	102.193	35.2	0.898"
"CS00051	0.5	NC_017592.1	1	2036867	15301293	175688	8.6254	204.474	35.2	0.896"
"CS00051	1.0	NC_017592.1	1	2036867	30605656	238406	11.7045	275.406	35.2	0.897"
"CS00052	0.025	NC_017592.1	1	2036867	1462405	1453992	71.3837	80.5538	35.7	37.7"
"CS00052	0.05	NC_017592.1	1	2036867	2926264	1614908	79.2839	161.141	35.7	37.7"
"CS00052	0.075	NC_017592.1	1	2036867	4390795	1691981	83.0678	241.863	35.7	37.7"
"CS00052	0.125	NC_017592.1	1	2036867	7318175	1763994	86.6033	403.029	35.7	37.7"
"CS00052	0.1	NC_017592.1	1	2036867	5855580	1734948	85.1773	322.506	35.7	37.7"
"CS00052	0.25	NC_017592.1	1	2036867	14645022	1837282	90.2014	806.542	35.7	37.7"
"CS00052	0.5	NC_017592.1	1	2036867	29296709	1879231	92.2609	1613.72	35.7	37.7"
"CS00052	1.0	NC_017592.1	1	2036867	58601191	1906923	93.6204	3193.32	35.7	37.7"
"CS00053	0.025	NC_017592.1	1	2036867	1071115	1068926	52.4789	53.3088	35.7	30.3"
"CS00053	0.05	NC_017592.1	1	2036867	2146015	1317274	64.6716	106.843	35.7	30.4"
"CS00053	0.075	NC_017592.1	1	2036867	3219557	1448363	71.1074	160.344	35.7	30.4"
"CS00053	0.125	NC_017592.1	1	2036867	5368060	1585146	77.8228	267.361	35.7	30.4"
"CS00053	0.1	NC_017592.1	1	2036867	4294885	1528504	75.0419	213.877	35.7	30.4"
"CS00053	0.25	NC_017592.1	1	2036867	10738436	1715345	84.2149	535.028	35.7	30.4"
"CS00053	0.5	NC_017592.1	1	2036867	21475862	1807121	88.7206	1069.77	35.7	30.4"
"CS00053	1.0	NC_017592.1	1	2036867	42955949	1859828	91.3083	2111.66	35.7	30.4"
"CS00054	0.025	NC_017592.1	1	2036867	844980	566375	27.8062	28.1543	35.6	16.6"
"CS00054	0.05	NC_017592.1	1	2036867	1687663	773131	37.9569	56.1599	35.6	16.5"
"CS00054	0.075	NC_017592.1	1	2036867	2533256	912280	44.7884	84.3474	35.6	16.5"
"CS00054	0.125	NC_017592.1	1	2036867	4222761	1102670	54.1356	140.536	35.6	16.5"
"CS00054	0.1	NC_017592.1	1	2036867	3376963	1020869	50.1196	112.425	35.6	16.5"
"CS00054	0.25	NC_017592.1	1	2036867	8450347	1351584	66.356	281.16	35.6	16.5"
"CS00054	0.5	NC_017592.1	1	2036867	16899509	1559273	76.5525	562.353	35.6	16.5"
"CS00054	1.0	NC_017592.1	1	2036867	33801370	1714719	84.1841	1116.45	35.6	16.5"
"CS00055	0.025	NC_017592.1	1	2036867	807616	257680	12.6508	15.1031	35.5	5.62"
"CS00055	0.05	NC_017592.1	1	2036867	1616808	381776	18.7433	30.2594	35.5	5.62"
"CS00055	0.075	NC_017592.1	1	2036867	2425379	472065	23.176	45.4211	35.5	5.63"
"CS00055	0.125	NC_017592.1	1	2036867	4043416	604820	29.6936	75.7233	35.5	5.63"
"CS00055	0.1	NC_017592.1	1	2036867	3233819	544844	26.7491	60.5758	35.5	5.63"
"CS00055	0.25	NC_017592.1	1	2036867	8085757	812626	39.8959	151.316	35.5	5.64"
"CS00055	0.5	NC_017592.1	1	2036867	16168251	1046383	51.3722	302.529	35.5	5.63"
"CS00055	1.0	NC_017592.1	1	2036867	32337021	1270561	62.3782	518.518	35.6	5.63"
"CS00056	0.025	NC_017592.1	1	2036867	217419	18197	0.893382	2.90761	35.2	0.869"
"CS00056	0.05	NC_017592.1	1	2036867	433560	26999	1.32552	5.79937	35.2	0.865"
"CS00056	0.075	NC_017592.1	1	2036867	651975	33975	1.668	8.7193	35.2	0.881"
"CS00056	0.125	NC_017592.1	1	2036867	1085221	44943	2.20648	14.5127	35.2	0.88"
"CS00056	0.1	NC_017592.1	1	2036867	869440	39899	1.95884	11.627	35.2	0.885"
"CS00056	0.25	NC_017592.1	1	2036867	2172893	71309	3.50092	29.0599	35.2	0.881"
"CS00056	0.5	NC_017592.1	1	2036867	4351814	108306	5.31728	58.2007	35.2	0.88"
"CS00056	1.0	NC_017592.1	1	2036867	8710242	159308	7.82123	116.504	35.2	0.88"
